,起飞机场坐标,降落机场坐标,飞行路径
0,"(117.17, 34.26)","(123.51, 43.87)","[[(117.17, 34.26), (117.55, 34.06), (117.98, 26.54), (118.0, 34.28), (118.89, 34.59), (120.29, 35.98), (120.63, 36.93), (120.8, 38.01), (120.99, 38.25), (121.46, 38.41), (122.16, 38.69), (125.85, 43.77), (123.51, 43.87)]]"
1,"(106.6, 29.73)","(106.81, 26.55)","[[(106.6, 29.73), (106.92, 28.77), (106.99, 27.47), (106.81, 26.55)]]"
2,"(113.92, 22.31)","(103.94, 30.58)","[[(113.92, 22.31), (110.78, 24.67), (108.4, 26.1), (105.42, 28.17), (104.3, 29.93), (103.94, 30.58)], [(113.92, 22.31), (114.13, 22.54), (110.78, 24.67), (108.4, 26.1), (105.42, 28.17), (104.3, 29.93), (103.94, 30.58)], [(113.92, 22.31), (113.42, 24.19), (110.78, 24.67), (108.4, 26.1), (105.42, 28.17), (104.3, 29.93), (103.94, 30.58)], [(113.92, 22.31), (114.13, 22.54), (113.42, 24.19), (110.78, 24.67), (108.4, 26.1), (105.42, 28.17), (104.3, 29.93), (103.94, 30.58)]]"
3,"(121.81, 31.15)","(113.08, 23.07)","[[(121.81, 31.15), (120.43, 30.9), (114.88, 25.81), (114.51, 24.31), (114.06, 23.97), (113.08, 23.07)]]"
4,"(83.39, 43.44)","(87.45, 43.97)","[[(83.39, 43.44), (83.38, 43.43), (83.78, 43.78), (86.72, 43.54), (87.51, 43.91), (87.45, 43.97)]]"
5,"(121.46, 29.82)","(117.21, 36.83)","[[(121.46, 29.82), (121.22, 30.25), (121.34, 31.12), (121.33, 31.28), (119.76, 32.25), (117.37, 36.0), (117.21, 36.83)]]"
6,"(102.74, 24.96)","(113.29, 23.4)","[[(102.74, 24.96), (103.74, 24.54), (112.48, 23.07), (113.29, 23.4)], [(102.74, 24.96), (112.48, 23.07), (113.29, 23.4)]]"
7,"(113.21, 28.2)","(116.7, 40.15)","[[(113.21, 28.2), (113.64, 29.26), (114.43, 31.32), (115.8, 38.66), (116.7, 40.15)], [(113.21, 28.2), (113.64, 29.26), (115.8, 38.66), (116.7, 40.15)]]"
8,"(121.36, 37.4)","(108.6, 34.43)","[[(121.36, 37.4), (120.54, 37.65), (109.93, 33.88), (108.6, 34.43)]]"
9,"(109.75, 38.36)","(108.6, 34.43)","[[(109.75, 38.36), (109.58, 38.38), (109.48, 36.42), (109.14, 35.85), (108.6, 34.43)]]"
10,"(106.6, 29.73)","(102.05, 36.53)","[[(106.6, 29.73), (107.05, 30.45), (106.19, 30.81), (104.49, 30.61), (104.11, 36.53), (103.28, 36.94), (102.91, 36.82), (102.05, 36.53)], [(106.6, 29.73), (107.05, 30.45), (104.49, 30.61), (104.11, 36.53), (102.91, 36.82), (102.05, 36.53)]]"
11,"(121.32, 31.2)","(120.2, 33.41)","[[(121.32, 31.2), (120.73, 32.17), (119.76, 32.25), (119.16, 32.94), (120.2, 33.42), (120.2, 33.41)]]"
12,"(108.6, 34.43)","(108.17, 22.61)","[[(108.6, 34.43), (108.31, 33.32), (107.05, 26.29), (107.58, 23.08), (108.15, 22.59), (108.17, 22.61)], [(108.6, 34.43), (108.31, 33.32), (107.05, 26.29), (108.1, 24.3), (107.58, 23.08), (108.15, 22.59), (108.17, 22.61)], [(108.6, 34.43), (108.31, 33.32), (107.05, 26.29), (108.15, 22.59), (108.17, 22.61)], [(108.6, 34.43), (108.31, 33.32), (107.58, 23.08), (108.15, 22.59), (108.17, 22.61)]]"
13,"(115.93, 28.86)","(118.83, 31.77)","[[(115.93, 28.86), (115.91, 28.89), (116.65, 29.39), (117.18, 29.34), (117.3, 31.78), (117.58, 31.61), (118.18, 31.67), (118.83, 31.77)]]"
14,"(117.39, 39.18)","(102.74, 24.96)","[[(117.39, 39.18), (115.51, 38.94), (112.35, 37.77), (109.18, 36.49), (109.14, 35.85), (108.71, 34.76), (108.09, 33.41), (107.77, 32.17), (106.85, 30.2), (104.28, 26.86), (103.65, 26.18), (102.74, 24.96)], [(117.39, 39.18), (109.18, 36.49), (109.14, 35.85), (108.71, 34.76), (108.09, 33.41), (107.77, 32.17), (106.85, 30.2), (103.65, 26.18), (102.74, 24.96)]]"
15,"(106.6, 29.73)","(99.66, 27.8)","[[(106.6, 29.73), (106.92, 28.77), (105.11, 27.63), (104.28, 26.86), (101.8, 26.53), (100.72, 26.67), (99.68, 27.79), (99.66, 27.8)], [(106.6, 29.73), (106.92, 28.77), (105.11, 27.63), (101.8, 26.53), (100.72, 26.67), (99.68, 27.79), (99.66, 27.8)]]"
16,"(86.69, 41.54)","(84.93, 45.54)","[[(86.69, 41.54), (86.14, 41.61), (86.72, 43.54), (87.51, 43.91), (86.28, 45.12), (84.93, 45.48), (84.93, 45.54)]]"
17,"(114.7, 38.27)","(108.17, 22.61)","[[(114.7, 38.27), (114.04, 38.42), (112.59, 37.87), (113.12, 36.24), (111.59, 27.17), (108.15, 22.59), (108.17, 22.61)]]"
18,"(113.35, 22.01)","(114.2, 30.81)","[[(113.35, 22.01), (113.61, 22.25), (113.42, 24.19), (113.69, 29.91), (114.2, 30.81)], [(113.35, 22.01), (113.61, 22.25), (114.03, 22.71), (113.52, 23.41), (113.42, 24.19), (113.69, 29.91), (114.2, 30.81)], [(113.35, 22.01), (113.61, 22.25), (114.2, 30.81)]]"
19,"(113.35, 22.01)","(117.39, 39.18)","[[(113.35, 22.01), (113.61, 22.25), (114.03, 22.71), (113.52, 23.41), (113.42, 24.19), (114.43, 31.32), (115.7, 38.5), (116.09, 38.66), (117.39, 39.18)], [(113.35, 22.01), (113.61, 22.25), (117.39, 39.18)], [(113.35, 22.01), (113.61, 22.25), (113.42, 24.19), (114.43, 31.32), (115.7, 38.5), (116.09, 38.66), (117.39, 39.18)]]"
20,"(117.21, 36.83)","(100.23, 26.71)","[[(117.21, 36.83), (115.4, 36.56), (109.93, 33.88), (109.58, 33.76), (108.31, 33.32), (107.93, 33.26), (107.5, 32.81), (104.75, 31.1), (104.68, 30.12), (100.72, 26.67), (100.23, 26.71)]]"
